Date,Open,High,Low,Close,Adj Close,Volume
12/18/2007,16000,19600,16000,19600,3455.358154,45450000
12/19/2007,19000,20100,18900,19000,3349.582275,12470000
12/26/2007,19000,19000,19000,19000,3349.582275,0
12/27/2007,18550,19050,18600,19000,3349.582275,4807000
12/28/2007,19000,19050,18550,18900,3331.952393,1593000
12/31/2007,18900,18900,18900,18900,3331.952393,0
1/2/2008,18900,18900,18900,18900,3331.952393,0
1/3/2008,18150,18300,18050,18150,3199.731445,2190500
1/4/2008,18750,18800,18300,18750,3305.508057,1255000
1/7/2008,20800,20850,18650,20800,3666.9104,7813500
1/8/2008,20600,21500,20300,20600,3631.650146,4348000
1/9/2008,20850,21000,20300,20850,3675.725586,3727000
1/14/2008,22000,22850,20900,22000,3878.462646,9896000
1/15/2008,22000,23300,21800,22000,3878.462646,8141000
1/16/2008,22000,22200,21300,22000,3878.462646,9074500
1/17/2008,24250,24300,22100,24250,4275.124512,5952500
1/18/2008,24450,25000,23300,24450,4310.382813,6156000
1/21/2008,22850,24800,22550,22850,4028.3125,3929500
1/22/2008,21850,21850,20800,21850,3852.019043,13868000
1/23/2008,23600,24100,22200,23600,4160.532715,4258000
1/24/2008,23800,24500,23700,23800,4195.791504,1982000
1/25/2008,25250,25450,24000,25250,4451.416504,7085500
1/28/2008,27800,28050,24900,27800,4900.966309,6364000
1/29/2008,29150,29500,28000,29150,5138.962891,5321500
1/30/2008,28800,29500,28050,28800,5077.262207,1441500
1/31/2008,28300,29300,28200,28300,4989.11377,2901000
2/1/2008,27000,28800,26000,27000,4759.932129,3892000
2/4/2008,27000,28900,26950,27000,4759.932129,2999500
2/5/2008,28150,29000,27500,28150,4962.669434,9125000
2/6/2008,28150,27900,27050,27600,4865.708008,3140500
2/11/2008,26250,27600,26200,26250,4627.711426,2564000
2/12/2008,25950,27200,24750,25950,4574.823242,3259500
2/13/2008,25350,26300,25150,25350,4469.047363,1951000
2/14/2008,26800,27000,25700,26800,4724.671875,2813000
2/15/2008,26600,28550,26600,26600,4689.414551,5321500
2/18/2008,29900,29900,28500,29900,5271.183594,6281500
2/19/2008,30500,30850,29700,30500,5376.958984,3272500
2/20/2008,29100,31000,28500,29100,5130.149902,1994500
2/21/2008,29500,30000,29200,29500,5200.666016,1441500
2/22/2008,29450,29700,29000,29450,5191.852051,1028000
2/25/2008,29550,30000,29250,29550,5209.480469,830000
2/26/2008,28900,29800,28900,28900,5094.891113,831500
2/27/2008,27800,29200,27600,27800,4900.966309,3973000
2/28/2008,27550,28200,27300,27550,4856.894531,2147500
2/29/2008,27600,28000,27450,27600,4865.708008,1960000
3/3/2008,27200,27500,26500,27200,4795.189941,1135000
3/4/2008,27750,28100,26900,27750,4892.150391,2729500
