Date,Predicted Stock Price
2024-11-18,26533.121
2024-11-19,25517.848
2024-11-20,24947.504
2024-11-21,24904.803
2024-11-22,25006.057
2024-11-25,24891.254
2024-11-26,25187.723
2024-11-27,25149.629
2024-11-28,24964.33
2024-11-29,25626.9
2024-12-02,26203.098
2024-12-03,25419.088
2024-12-04,24883.822
2024-12-05,24883.795
2024-12-06,25020.717
2024-12-09,24872.275
2024-12-10,25140.541
2024-12-11,25148.797
2024-12-12,24982.354
2024-12-13,25635.596
2024-12-16,26214.578
2024-12-17,25424.355
2024-12-18,24887.494
2024-12-19,24883.525
2024-12-20,25019.6
2024-12-23,24873.664
2024-12-24,25141.893
2024-12-25,25148.977
2024-12-26,24982.428
2024-12-27,25635.547
